id,longitude,latitude,service_time,station_name,station_type
1260,12.928742,49.307777,0,Großaign,SYSTEM
1261,12.858398,49.179308,0,Schulzentrum,SYSTEM
1262,12.63715,49.372055,0,Kritzenast,SYSTEM
1264,12.489845,49.080468,0,Arrach,SYSTEM
1266,12.54002,49.121212,0,"beim Weiler ""Zwinger""",SYSTEM
1267,12.650844,49.106008,0,ggf. außerhalb LK?,SYSTEM
1268,12.650661,49.106406,0,ggf. außerhalb LK?,SYSTEM
1269,12.630661,49.182219,0,"Schorndorf, Radling, St. 2146/Pentinger Str. Pfahl",SYSTEM
1270,12.629756,49.182247,0,"Schorndorf, Radling, St. 2146/Pentinger Str. Pfahl",SYSTEM
1265,12.521023,49.061938,500, Epfenzell123,SYSTEM
