latitude,longitude
49.3080426,12.8425636
49.2925681,12.7913414
49.2012994,12.9402774
49.247082,12.9708104
49.247082,12.9708104
49.3041612,12.9048317
49.2327184,12.8754546
49.2077109,12.9924687
49.2619155,12.7654638
49.3375713,12.5252295
49.3813536,12.7046141
49.3374497,12.5251722
49.1898177,13.0438247
49.2239383,12.8878446
49.22752206,12.91127911
49.29373253,12.81838916
49.3136529,12.7384687
49.2413622,12.7840461
49.2413622,12.7840461
49.27232938,12.92636151
49.3446807,12.5201747
49.43113734,12.84624703
49.3751488,12.7172854
49.3100211,12.7629663
49.224041,12.6862194
49.3281032,12.6862538
49.350888,12.6059245
49.339771,12.6353602
49.237954,12.6130424
49.2640909,12.7591887
49.4124803,12.77281596
49.37622766,12.92323357
49.2243467,12.6587737
49.33076066,12.81122868
49.4232232,12.5347802
49.2018038,12.6621357
49.3332329,12.6889427
49.32906116,12.83080655
49.3358547,12.6192001
49.317625,12.8263527
49.37447844,12.51487825
49.32119789,12.84389422
49.3377556,12.6309149
49.2711883,12.901654
49.33821102,12.81300702
49.2654418,12.6120329
49.27623233,12.61313693
49.1205333,12.8106997
49.3067448,12.9861253
49.2315636,12.8839237
49.32210168,12.93611058
49.2963112,12.9435719
49.2891081,12.8689419
49.3510364,12.6692272
49.3053297,12.78790011
49.40603054,12.96402033
49.21542931,13.05829241
49.20761309,13.09694051
49.39715973,12.51190879
49.34330504,12.66103419
49.3283082,12.6794753
49.1874136,12.8684145
49.10477712,12.74689282
49.38340225,12.92581543
49.1983714,13.0049076
49.1853959,12.8407107
49.3882837,12.5202008
49.38187879,12.60583303
49.11256565,12.90586687
49.29510615,12.87318061
49.27954073,12.86370704
49.34806081,12.82500904
49.31900212,12.91125215
49.3021798,12.9796431
49.17263776,12.94332206
49.2315636,12.8839237
49.382225,12.5478785
49.2282062,12.6738703
49.36192258,12.96996572
49.3770232,12.7286212
49.11071692,12.87566013
49.375299,12.590263
49.3336087,12.6772606
49.22689946,12.86372273
49.3133122,12.5289026
49.38760479,12.53090708
49.4219166,12.712957
49.1726568,12.845867
49.2239383,12.8878446
49.2765702,12.9531972
49.44959088,12.9784459
49.1107221,12.6163561
49.3286596,12.6789165
49.22221813,12.86706126
49.31876027,12.78647575
49.2179794,13.0041908
49.2163961,12.7453048
49.35382126,12.5359706
49.2181383,13.0302564
49.3667221,12.633183
49.2225993,12.6703202
49.35526007,12.67327237
49.32710608,12.76828986
49.43785251,12.77997668
49.39055883,12.78446586
49.2753298,12.5319396
49.34459349,12.85348423
49.3903066,12.98277748
49.2234387,12.7638896
49.3465418,12.6253569
49.3365543,12.6450634
49.373717,12.99623083
49.3509804,12.5979166
49.3190508,12.6835623
49.30974938,12.69060005
49.3772726,12.6967006
49.3633201,12.6996737
49.3678691,12.703335
49.36036212,12.7442256
49.1524664,12.7633152
49.2383769,12.7467542
49.28796233,12.80526962
49.2990686,12.804135
49.31060072,12.80896181
49.44638774,12.86054479
49.3299952,12.8931591
49.45237037,12.91112299
49.3262646,12.99679344
49.39055883,12.78446586
49.2753298,12.5319396
49.34459349,12.85348423
49.3903066,12.98277748
49.2234387,12.7638896
49.3465418,12.6253569
49.3365543,12.6450634
49.373717,12.99623083
49.3509804,12.5979166
49.3190508,12.6835623
49.30974938,12.69060005
49.3772726,12.6967006
49.3633201,12.6996737
49.3678691,12.703335
49.36036212,12.7442256
49.1524664,12.7633152
49.2383769,12.7467542
49.28796233,12.80526962
49.2990686,12.804135
49.31060072,12.80896181
49.44638774,12.86054479
49.3299952,12.8931591
49.45237037,12.91112299
49.3262646,12.99679344
49.2413622,12.7840461
49.2413622,12.7840461
49.27232938,12.92636151
49.3446807,12.5201747
49.43113734,12.84624703
49.3751488,12.7172854
49.3100211,12.7629663
49.224041,12.6862194
49.3281032,12.6862538
49.350888,12.6059245
49.339771,12.6353602
49.237954,12.6130424
49.2640909,12.7591887
49.4124803,12.77281596
49.37622766,12.92323357
49.2243467,12.6587737
49.33076066,12.81122868
49.4232232,12.5347802
49.2018038,12.6621357
49.3332329,12.6889427
49.32906116,12.83080655
49.3358547,12.6192001
49.317625,12.8263527
49.37447844,12.51487825
49.32119789,12.84389422
49.3377556,12.6309149
49.2711883,12.901654
49.33821102,12.81300702
49.2654418,12.6120329
49.27623233,12.61313693
49.1205333,12.8106997
49.3067448,12.9861253
49.2315636,12.8839237
49.32210168,12.93611058
49.2963112,12.9435719
49.2891081,12.8689419
49.3510364,12.6692272
49.3053297,12.78790011
49.40603054,12.96402033
49.21542931,13.05829241
49.20761309,13.09694051
49.39715973,12.51190879
49.34330504,12.66103419
49.3283082,12.6794753
49.1874136,12.8684145
49.10477712,12.74689282
49.38340225,12.92581543
49.1983714,13.0049076
49.1853959,12.8407107
49.3882837,12.5202008
49.38187879,12.60583303
49.11256565,12.90586687
49.29510615,12.87318061
49.27954073,12.86370704
49.34806081,12.82500904
49.31900212,12.91125215
49.3021798,12.9796431
49.17263776,12.94332206
49.2315636,12.8839237
49.382225,12.5478785
49.2282062,12.6738703
49.36192258,12.96996572
49.3770232,12.7286212
49.11071692,12.87566013
49.375299,12.590263
49.3336087,12.6772606
49.22689946,12.86372273
49.3133122,12.5289026
49.38760479,12.53090708
49.4219166,12.712957
49.1726568,12.845867
49.2239383,12.8878446
49.2765702,12.9531972
49.44959088,12.9784459
49.1107221,12.6163561
49.3286596,12.6789165
49.22221813,12.86706126
49.31876027,12.78647575
49.2179794,13.0041908
49.2163961,12.7453048
49.35382126,12.5359706
49.2181383,13.0302564
49.3667221,12.633183
49.2225993,12.6703202
49.35526007,12.67327237
49.32710608,12.76828986
49.43785251,12.77997668
49.2413622,12.7840461
49.2413622,12.7840461
49.27232938,12.92636151
49.3446807,12.5201747
49.43113734,12.84624703
49.3751488,12.7172854
49.3100211,12.7629663
49.224041,12.6862194
49.3281032,12.6862538
49.350888,12.6059245
49.339771,12.6353602
49.237954,12.6130424
49.2640909,12.7591887
49.4124803,12.77281596
